Año-Mes (AAAA-MM);Tasa de ocupación (%);Tasa de desempleo (%)
2023-12;57,43;10,01
2023-11;58,31;9,01
2023-10;58,12;9,23
2023-09;58,25;9,25
2023-08;58,47;9,28
2023-07;58,59;9,57
2023-06;58,32;9,34
2023-05;57,17;10,48
2023-04;57,68;10,72
2023-03;57,88;10,03
2023-02;56,52;11,35
2023-01;54,70;13,70
2022-12;57,25;10,27
2022-11;57,36;9,50
2022-10;57,74;9,72
2022-09;57,25;10,75
2022-08;56,73;10,63
2022-07;56,53;10,99
2022-06;56,50;11,26
2022-05;56,99;10,65
2022-04;56,47;11,17
2022-03;55,82;12,12
2022-02;55,88;12,91
2022-01;53,41;14,65
2021-12;55,54;11,10
2021-11;55,02;11,53
2021-10;54,61;12,00
2021-09;53,63;11,96
2021-08;53,43;12,86
2021-07;53,09;13,06
2021-06;52,25;14,65
2021-05;52,11;15,20
2021-04;51,57;15,49
2021-03;52,53;14,73
2021-02;52,77;15,59
2021-01;50,08;17,56
2020-12;53,74;13,91
2020-11;53,55;13,91
2020-10;53,66;15,28
2020-09;51,07;16,29
2020-08;49,73;17,44
2020-07;45,95;20,91
2020-06;46,89;20,36
2020-05;44,24;21,97
2020-04;42,50;20,49
2020-03;52,45;13,18
2020-02;56,07;12,81
2020-01;55,33;13,46
